"State","Actual2005","Actual2006","Actual2007","Actual2008","Actual2009","Actual2010","Actual2011","Actual2012","Total"
"Tennessee","$1,000,000","$1,596,222","$2,158,074","$2,700,824","$3,404,845","$3,404,845","$3,810,719","$3,178,652","$21,254,181"
"Texas","$1,000,000","$7,009,094","$9,408,067","$12,114,991","$15,219,488","$15,219,488","$15,887,285","$14,208,418","$90,066,831"
"Utah","$1,000,000","$990,000","$1,063,690","$1,365,995","$1,718,219","$1,718,219","$2,039,844","$1,604,073","$11,500,040"
"Vermont","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,437,342","$933,567","$8,360,909"
"Virginia","$1,000,000","$2,024,830","$2,717,436","$3,370,807","$4,290,965","$4,290,965","$4,750,810","$4,005,905","$26,451,718"
"Washington","$1,000,000","$1,694,515","$2,271,034","$2,809,776","$3,576,977","$3,576,977","$4,200,581","$3,339,349","$22,469,209"
"West Virginia","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,167,130","$933,567","$8,090,697"
"Wisconsin","$1,000,000","$1,554,314","$2,048,636","$2,499,641","$3,072,413","$3,072,413","$3,411,016","$2,868,305","$19,526,738"
"Wyoming","$1,000,000","$990,000","$1,000,000","$1,000,000","$1,000,000","$1,000,000","$1,083,988","$933,567","$8,007,555"
"Total","$51,000,000","$96,030,000","$122,000,000","$147,000,000","$180,000,000","$180,000,000","$ 202,439,733","$168,042,127","$1,146,511,860"
