"Tweet_Date"|"Tweet_Text"|"Tweet_Handle"
"Thu Dec 26 123239 0000 2013"|"RT alokbhatt Dear WithCongress here is a suggestion pl hv a reverse merger with AamAadmiParty n declare Kejriwal as PM Candidate n R"|"mehulmeh"
"Thu Dec 26 123236 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"manavjainWLG"
"Thu Dec 26 123226 0000 2013"|"SAFETOUR Comeon Modi couldnt stop Godhra by this logic Muslims too should be his fan He got clean chit from Court AamAadmiParty"|"mrktcls"
"Thu Dec 26 123200 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"AamAadmiParty"
"Thu Dec 26 123133 0000 2013"|"Why AAPs promise to provide free 700 liter water makes sense socially and economically hv a read  httptcoZKFB5fCERB AamAadmiParty"|"AAPkiSarkar"
"Thu Dec 26 123123 0000 2013"|"RT AnilThakurAap AamAadmiParty ideology is based  fully on Mahatma Gandhis SatyaAhimsa ampSwarajArvindKejriwal is the true voice of "|"vincepaul6001"
"Thu Dec 26 123121 0000 2013"|"AamAadmiParty Dec 28 will be Indias ObamaMoment "|"ShikharGupta25"
"Thu Dec 26 123109 0000 2013"|"NavbharatTimes AamAadmiParty please update the link Its not working"|"ExposeLies"
"Thu Dec 26 123051 0000 2013"|"AamAadmiParty ArvindKejriwal Why are you leading to joke  When you have not clear mandate  do not become joke for those who votedu"|"Kirpalsinghkkr"
"Thu Dec 26 123050 0000 2013"|"ArvindKejriwal  wt is ur plan to sweep DMK n AIDMK from tamilnadu AAP AamAadmiParty"|"ganesh1823"
"Thu Dec 26 123006 0000 2013"|"AamAadmiParty Whether only for Delhi Loksabha seats or any where in the country"|"KNRPRao"
"Thu Dec 26 122919 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"Virdisharma"
"Thu Dec 26 122850 0000 2013"|"AAP nomination form 4 LokSabha  crimefree record 1K prposers httpstcoD7GStmRSwo AamAadmiParty th bit abt Family disappoints 377"|"subichaturvedi"
"Thu Dec 26 122832 0000 2013"|"timesofindia God helps those who help themselves ArvindKejriwal AamAadmiParty"|"AbhiTheNetizen"
"Thu Dec 26 122824 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"newreck"
"Thu Dec 26 122804 0000 2013"|"Alka Lamba can be mole planted be aware AamAadmiParty AAP"|"AnupCommonMan"
"Thu Dec 26 122757 0000 2013"|"AAPNoida AamAadmiParty Where is format"|"HemKumarGupta"
"Thu Dec 26 122754 0000 2013"|"AamAadmiParty should stop this freebies gimmick Rather provide employmentlet the people buy not the govt Stand different from others"|"Kaapicat"
"Thu Dec 26 122702 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"Virdisharma"
"Thu Dec 26 122700 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"Virdisharma"
"Thu Dec 26 122627 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"guptarpulse"
"Thu Dec 26 122618 0000 2013"|"INC was founded on 28th December 1885 and now its the turn of an AamAadmiParty to take oath on the very day I really feel pity for INC"|"lastLuggage"
"Thu Dec 26 122613 0000 2013"|"AamAadmiParty when would you coming OdishaOdisha waiting you"|"rkjainbpt"
"Thu Dec 26 122605 0000 2013"|"RT HemKumarGupta AamAadmiParty Please dont kill this hope of the country by inducting the politician like Alka Lambathey come with old"|"UmaSinghal1"
"Thu Dec 26 122516 0000 2013"|"AAPkiSarkar ChaloDelhi AamAadmiParty ArvindKejriwal any critical post to newcomer never If they deserve let them prove first"|"Ch8y"
"Thu Dec 26 122451 0000 2013"|"AamAadmiParty Please dont kill this hope of the country by inducting the politician like Alka Lambathey come with old dirty baggagecult"|"HemKumarGupta"
"Thu Dec 26 122437 0000 2013"|"AamAadmiParty need to redraft their economic policies their policies certainly not investment friendlyexcept that rest of all awesome"|"Kaapicat"
"Thu Dec 26 122425 0000 2013"|"PC AamAadmiParty Application form for candidature for LS2014 is being uploaded at website Jai Hind httptcoHAh6tzUpby"|"iAnkurMishra"
"Thu Dec 26 122423 0000 2013"|"AamAadmiParty i rmber AlkaLamba wen she came 2 guwahatimolestation caseShe showd her arrogance n also revealed victims name Carefull"|"sasankar18"
"Thu Dec 26 122406 0000 2013"|"kdudakia AndrewBuncombe AamAadmiParty Lust of power may be for short period  but for wrong doings voters would not spare"|"Kirpalsinghkkr"
"Thu Dec 26 122345 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"iAnshulG"
"Thu Dec 26 122319 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"muntaziraapka"
"Thu Dec 26 122239 0000 2013"|"jns ArvindKejriwal AamAadmiParty that means donation of atleast 150 crores Every one can leave their Govt Service"|"amitpar"
"Thu Dec 26 122222 0000 2013"|"AndrewBuncombe ArvindKejriwal AamAadmiParty BJP is intelligent  actually all politicies parties are one only degree matters the most"|"Kirpalsinghkkr"
"Thu Dec 26 122216 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"DivzNo1"
"Thu Dec 26 122155 0000 2013"|"AAPkiSarkar ChaloDelhi AamAadmiParty a welcome decision by ArvindKejriwal Gud for themso they need to prove b4 they claim"|"Ch8y"
"Thu Dec 26 122149 0000 2013"|"AamAadmiParty Wish to see a blue print for economy national security and not just freebies to make up my mind"|"myideaofIndia"
"Thu Dec 26 122143 0000 2013"|"Loksabha Nomination Form httptcorGRGXaUQpN Now this is revolution arvindkejriwal"|"akashmhowwala"
"Thu Dec 26 122130 0000 2013"|"fdir Ho chuki Sorry wo purani twt thi drafts me AamAadmiParty"|"ssttuuttii"
"Thu Dec 26 122103 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"poonamkum"
"Thu Dec 26 122059 0000 2013"|"AamAadmiParty ideology is based  fully on Mahatma Gandhis SatyaAhimsa ampSwarajArvindKejriwal is the true voice of the last common man"|"AnilThakurAap"
"Thu Dec 26 122057 0000 2013"|"ssttuuttii AamAadmiParty which channel"|"jainpau1"
"Thu Dec 26 122052 0000 2013"|"RT ankitlal AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoEtT2kSo7yO"|"ADhawan1"
"Thu Dec 26 122048 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"ChaloDelhi"
"Thu Dec 26 122037 0000 2013"|"RT AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"rahuman94"
"Thu Dec 26 122035 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"rahuman94"
"Thu Dec 26 122025 0000 2013"|"RT ssttuuttii Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"aapumesh"
"Thu Dec 26 122022 0000 2013"|"For Mahila Suraksha there should be boards in public places written in bold letter No eveteasing along with hlpline no AamAadmiParty"|"preetigoelchem"
"Thu Dec 26 122014 0000 2013"|"RT AjayAamAadmi Its so easy to apply for a LS ticket in AAP Just click here httptcoNgA0189O4i   AAP4India"|"gggaurav88"
"Thu Dec 26 122010 0000 2013"|"RT ChaloDelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"gggaurav88"
"Thu Dec 26 121957 0000 2013"|"RT JoinAAP AamAdmiParty AamAadmiParty to hold a press conference now December 26 at 430pm"|"ShrivaPraveen"
"Thu Dec 26 121949 0000 2013"|"Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India httptcoWD7EypY5uN"|"ssttuuttii"
"Thu Dec 26 121911 0000 2013"|"RT AAPkiSarkar Teena Sharma amp Alka Lamba wants to join AAP  I think We should open to all amp let give a chance to prove themselves AamA"|"tweet201213"
"Thu Dec 26 121901 0000 2013"|"Orthodoxwho believes politicians are superior class political classes not able to digest victory of AAM peopleAamAadmiParty"|"Kaapicat"
"Thu Dec 26 121851 0000 2013"|"What makes difference to AAP after this Congress strategic action to join AamAadmiParty AlkaLamba joins AAP"|"PunjabiBoyLucky"
"Thu Dec 26 121831 0000 2013"|"AamAadmiParty plz dont allow these power greedy ppl in AAP avoidAlkaLamba"|"GauravVerma0"
"Thu Dec 26 121810 0000 2013"|"RT AjayAamAadmi Its so easy to apply for a LS ticket in AAP Just click here httptcoNgA0189O4i   AAP4India"|"crguna"
"Thu Dec 26 121809 0000 2013"|"Teena Sharma amp Alka Lamba wants to join AAP  I think We should open to all amp let give a chance to prove themselves AamAadmiParty JoinAAP"|"AAPkiSarkar"
"Thu Dec 26 121758 0000 2013"|"Is ArvindKejriwal  the best IITian ever produced  I definitely think so AamAadmiParty"|"tarakeshwar"
"Thu Dec 26 121758 0000 2013"|"RT ChaloDelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"crguna"
"Thu Dec 26 121753 0000 2013"|"RT AAPkiSarkar Teena Sharma amp Alka Lamba wants to join AAP  I think We should open to all amp let prove themselves JoinAAP AamAadmiPart"|"sivaraman71"
"Thu Dec 26 121749 0000 2013"|"AamAadmiParty If you are are interested in contesting the Lok Sabha Elections with the Aam Aadmi Partyplease follow httptco0o0ctQPREa"|"sujeetsahu53"
"Thu Dec 26 121742 0000 2013"|"ssttuuttii AamAadmiParty link plzz"|"vivkrgupta"
"Thu Dec 26 121736 0000 2013"|"RT ChaloDelhi Its so easy to apply for a LS ticket in AAP Just click here httptcoqGrJcb6eYM  AAP4India"|"mihirjanaj"
"Thu Dec 26 121646 0000 2013"|"ssttuuttii AamAadmiParty which channel Or link"|"vinayb79"
"Thu Dec 26 121633 0000 2013"|"ARVIND LIKE TO CALLED AAM ADMI MODI     LIKE TO CALLED    SAHAB  WHO IS THE BEST Modi AAP AamAadmiParty JoinAAP Saheb"|"KhanRajem"
"Thu Dec 26 121623 0000 2013"|"mrktcls AamAadmiParty They are fans of Modi as he cornered Muslims post Godhra  SAFETOUR"|"SAFETOUR"
"Thu Dec 26 121618 0000 2013"|"ssttuuttii AamAadmiParty about what"|"rupeshshukla5"
"Thu Dec 26 121613 0000 2013"|"ssttuuttii AamAadmiParty where can u share me the link"|"theajeet"
"Thu Dec 26 121612 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"rahuman94"
"Thu Dec 26 121604 0000 2013"|"ssttuuttii for wht AamAadmiParty"|"shashank157"
"Thu Dec 26 121531 0000 2013"|"AamAadmiParty To effectively engage southern states free minded parties like Lok Satta needs to merge along with AAP Shrt time to elction"|"georgenevin"
"Thu Dec 26 121526 0000 2013"|"Mehul0811 DrShobha AamAadmiParty sanjay so first you decide and then get a formal approval  not a democracy my friend "|"BindaasBol"
"Thu Dec 26 121523 0000 2013"|"RT neerajjaihind ArvindKejriwal msisodia Before 8 Dec 13 where was these politicians now wish to join Beware AamAadmiParty they are "|"qrazymonk"
"Thu Dec 26 121521 0000 2013"|"RT AAPkiSarkar Teena Sharma amp Alka Lamba wants to join AAP  I think We should open to all amp let prove themselves JoinAAP AamAadmiPart"|"ChaloDelhi"
"Thu Dec 26 121444 0000 2013"|"RT AAPkiSarkar Teena Sharma amp Alka Lamba wants to join AAP  I think We should open to all amp let prove themselves JoinAAP AamAadmiPart"|"sujeetsahu53"
"Thu Dec 26 121424 0000 2013"|"RT bipuldelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website Jai Hind http"|"sujeetsahu53"
"Thu Dec 26 121423 0000 2013"|"Teena Sharma amp Alka Lamba wants to join AAP  I think We should open to all amp let prove themselves JoinAAP AamAadmiParty ArvindKejriwal"|"AAPkiSarkar"
"Thu Dec 26 121412 0000 2013"|"RT bipuldelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website Jai Hind http"|"ipathak25"
"Thu Dec 26 121340 0000 2013"|"RT adityapranav ideacellular TV Ad referring to AamAadmiPartys referendum in Delhi What an Idea SirJi httptcoh1wWZK32qO   Id"|"ShrivaPraveen"
"Thu Dec 26 121312 0000 2013"|"AamAadmiParty AAP should put alittle effort to the southern states as well You will need humongous amounts of localisation"|"georgenevin"
"Thu Dec 26 121312 0000 2013"|"AamAadmiParty AAP should put alittle effort to the southern states as well You will need humongous amounts of localisation"|"georgenevin"
"Thu Dec 26 121303 0000 2013"|"RT tweet201213 No doubts that Alka Lamba amp Tina Sharma both are opportunist but let them work as workers for a longer duration 23 yea"|"anku6"
"Thu Dec 26 121241 0000 2013"|"RT SATYAPRAVAH1 rvaidya2000  AamAadmiParty  ArvindKejriwal  thekiranbedi  Progressive unfoldment of what was hidden Strategytimes"|"dryogeshgpatel"
"Thu Dec 26 121239 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"HariAAP"
"Thu Dec 26 121234 0000 2013"|"RT SATYAPRAVAH1 AmitShahTweet  AamAadmiParty  AAP fooling people in corruption mvmnt Actually it fights against BJP with help of paid"|"dryogeshgpatel"
"Thu Dec 26 121232 0000 2013"|"RT SATYAPRAVAH1 AmitShahTweet AamAadmiParty timesnow  AK et al hidden agenda was apparent even before AAP start ConsLeft genes cant"|"dryogeshgpatel"
"Thu Dec 26 121155 0000 2013"|"Met a Delhi autowaala yesterday He said we autowaalas did a lot to make AamAadmiParty win Time to cherish will come soon"|"jokermocker"
"Thu Dec 26 121139 0000 2013"|"RT bipuldelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website Jai Hind http"|"vinay2586"
"Thu Dec 26 121111 0000 2013"|"RT tweet201213 No doubts that Alka Lamba amp Tina Sharma both are opportunist but let them work as workers for a longer duration 23 yea"|"jaypn2009"
"Thu Dec 26 121101 0000 2013"|"ArvindKejriwal and AamAadmiParty going to be the new untouchables httptcopP7ahxYUQX"|"nemothegreat1"
"Thu Dec 26 121038 0000 2013"|"No doubts that Alka Lamba amp Tina Sharma both are opportunist but let them work as workers for a longer duration 23 years AamAadmiParty"|"tweet201213"
"Thu Dec 26 121029 0000 2013"|"BindaasBol DrShobha AamAadmiParty sanjay They have planned referendum in January2014"|"Mehul0811"
"Thu Dec 26 120937 0000 2013"|"RT ChaloDelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"DharmBeniwal"
"Thu Dec 26 120937 0000 2013"|"RT AjayAamAadmi Its so easy to apply for a LS ticket in AAP Just click here httptcoNgA0189O4i   AAP4India"|"jaypn2009"
"Thu Dec 26 120926 0000 2013"|"RT ChaloDelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India http"|"winniegandhi"
"Thu Dec 26 120847 0000 2013"|"RT AjayAamAadmi Its so easy to apply for a LS ticket in AAP Just click here httptcoNgA0189O4i   AAP4India"|"ChaloDelhi"
"Thu Dec 26 120841 0000 2013"|"Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website AAP4India httptco7EtXnETyPU"|"ChaloDelhi"
"Thu Dec 26 120829 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"rahuman94"
"Thu Dec 26 120826 0000 2013"|"RT bipuldelhi Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website Jai Hind http"|"tweet201213"
"Thu Dec 26 120817 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"SaurabhC2"
"Thu Dec 26 120753 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"knockharsh"
"Thu Dec 26 120745 0000 2013"|"RT ChaloDelhi Its so easy to apply for a LS ticket in AAP Just click here httptcoqGrJcb6eYM  AAP4India"|"anku6"
"Thu Dec 26 120744 0000 2013"|"Its so easy to apply for a LS ticket in AAP Just click here httptcoNgA0189O4i   AAP4India"|"AjayAamAadmi"
"Thu Dec 26 120740 0000 2013"|"Press Conference AamAadmiParty Application form for candidature for LS2014 is being uploaded at website Jai Hind httptcolMRfBxSN8f"|"bipuldelhi"
"Thu Dec 26 120657 0000 2013"|"Why no referendum by ArvindKejriwal 4 decision on new president for AamAadmiParty Not of concern supporters timesnow ibnlive aajtak"|"gdsingh99"
"Thu Dec 26 120646 0000 2013"|"RT ChaloDelhi Its so easy to apply for a LS ticket in AAP Just click here httptcoqGrJcb6eYM  AAP4India"|"sivaraman71"
"Thu Dec 26 120620 0000 2013"|"Its so easy to apply for a LS ticket in AAP Just click here httptcoqGrJcb6eYM  AAP4India"|"ChaloDelhi"
"Thu Dec 26 120619 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"nehalove"
"Thu Dec 26 120608 0000 2013"|"SAFETOUR Again its a generic term and AamAadmiParty blames every party but its corrupt like Congress and communal like SP Fact"|"mrktcls"
"Thu Dec 26 120553 0000 2013"|"RT Donkeyji Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"ShrivaPraveen"
"Thu Dec 26 120544 0000 2013"|"RT monsun14 Former BJP member Tina Sharma joins AAP Says aamaadmiparty isnt a party Its a movement AK says welcome"|"bvaibhav007"
"Thu Dec 26 120514 0000 2013"|"ArvindKejriwal u will disturb many vested interest Look at history Take security Innovate AamAadmiParty AapYogendra"|"agarwlGaurav"
"Thu Dec 26 120437 0000 2013"|"mrktcls AamAadmiParty Both Cong ampBJP are ustads in communalampcaste politics They cant win ppl on clean governance SAFETOUR"|"SAFETOUR"
"Thu Dec 26 120410 0000 2013"|"I thought only HONEST leaders from congressBJP were welcome to join AamAadmiParty  AlkaLamba"|"kaushal198653"
"Thu Dec 26 120354 0000 2013"|"arvindkejriwal now plans to bring Swaraj to Delhi by making his aamaadmiparty to contest 100 Lok Sabha seats"|"jns"
"Thu Dec 26 120352 0000 2013"|"RT 360vue Isnt this why we hate VIP culture  AamAadmiParty ArvindKejriwal BDUTT httptcoiw5AMqogjH"|"jyoti1805"
"Thu Dec 26 120346 0000 2013"|"RT abhisarsharma swang song for congress leaders joining AamAadmiParty  AAP mujhe apne lagne lageahasapne sachche lagne lage"|"pujishuji"
"Thu Dec 26 120335 0000 2013"|"RT HeadlinesToday Home Ministry to inspect account books of AamAadmiParty on foreign fund receipts"|"bgshorse"
"Thu Dec 26 120320 0000 2013"|"RT Ajaykumar265 Positive News for AamAadmiParty Delhi had a revenue surplus of 9713 crores httptcoCRJdtAYtQ4"|"radheyshyamsin6"
"Thu Dec 26 120227 0000 2013"|"I support Aam Aadmi Party Support for a Corruption free India httptco2LUlQuQGHO"|"BDwasi"
"Thu Dec 26 120150 0000 2013"|"Home Ministry to inspect account books of AamAadmiParty on foreign fund receiptsas it is difficult to prob benami funding of othr prtys"|"ChouragadeP"
"Thu Dec 26 120059 0000 2013"|"RT anandpassion Growing popularity can seen as AAP websites Rank 275 in India highest ever for a political party JoinAAP ankitlal Aam"|"gandhi18581"
"Thu Dec 26 120039 0000 2013"|"AamAadmiParty its like getting women on the same status as men We have tried and failed Btw thats another issue you may like to dwell on"|"missvats"
"Thu Dec 26 120028 0000 2013"|"RT guptarpulse AamAadmiParty Now a BJP leader Teena Sharma quits BJP joins AAP LambaAlka quits cong JoinAap Kya kamal kiya hai ye "|"nitsbobby"
"Thu Dec 26 115955 0000 2013"|"AAP invites nomination for Lok Sabha 2014 election LS2014  You can get the application form procedure from here httptcowJJtioHSLW"|"40shravan"
"Thu Dec 26 115940 0000 2013"|"RT AKForPM It shud b AAP style Let AamAadmiParty or JoinAAP put up 2 qstns RT if u want Alka Lamba in AAP and RT for Not Public is "|"gandhi18581"
"Thu Dec 26 115917 0000 2013"|"AamAadmiParty why are you calling for a revolution  Against corruption  Corruption will exist no matter what be realistic"|"missvats"
"Thu Dec 26 115917 0000 2013"|"mrktcls AamAadmiParty BJP top brass wl censure you bcoz in 1977 they became ministers thanks to his fathers brilliant move SAFETOUR"|"SAFETOUR"
"Thu Dec 26 115913 0000 2013"|"AamAadmiParty  Respect this initiative Previously the youth of India had given up hope to join the mainstream politicsThings will change"|"Kumarz"
"Thu Dec 26 115912 0000 2013"|"ChdryPk AamAadmiParty sanjay Sanjay Singh is too heavy for SMSes his apporval needed MMS suevey"|"BindaasBol"
"Thu Dec 26 115823 0000 2013"|"SAFETOUR dont say in a generic term be particular Who is communal and why Do you want me to expose  AamAadmiParty on communalism"|"mrktcls"
"Thu Dec 26 115758 0000 2013"|"RT vijayanjana AAP and NaMo both being investigated Congress hittng back bjp making so much fuss AamAadmiParty is normal Shows the"|"agniveshpatel"
"Thu Dec 26 115746 0000 2013"|"ankitlal AamAadmiParty What is the last date"|"amitguptainn"
"Thu Dec 26 115744 0000 2013"|"Matlab no SMS poll how ridiculous RT  BindaasBol No democracy followed by AamAadmiParty in appointing sanjay singh as party chief "|"ChdryPk"
"Thu Dec 26 115742 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"aparasher"
"Thu Dec 26 115717 0000 2013"|"I hope modi now gets media attention for a week and AamAadmiParty and ArvindKejriwal gets to breath"|"prashen"
"Thu Dec 26 115637 0000 2013"|"RT BindaasBol No democracy followed by AamAadmiParty in appointing sanjay singh as party chief "|"sampathkas"
"Thu Dec 26 115637 0000 2013"|"Outlookindia congress has effectively punished the autowalas for supporting AamAadmiParty but outcome may just boomerang on them"|"WORLDOFTOUR"
"Thu Dec 26 115629 0000 2013"|"RT adarshoxf LokSabha4AAP First phase of winning lokshabha has begun Interested people may httptcoAhqDvtxtUE"|"jaypn2009"
"Thu Dec 26 115601 0000 2013"|"RT laxitparsana Its so easy to apply for a LS ticket in AAP Just click here httptcoH2yswFcz6z  Anyone from twitter"|"jaypn2009"
"Thu Dec 26 115547 0000 2013"|"RT himquantum dear ArvindKejriwal sir  I demand full background verification of lambaAlka before she enters our AamAadmiParty"|"AapKaLokesh"
"Thu Dec 26 115527 0000 2013"|"RT AamAadmiParty AamAadmiParty invites nominations for LokSabha 2014 elections LS2014 Link to form httptcoz9nDNBMuyj"|"smapgs"
"Thu Dec 26 115517 0000 2013"|"LokSabha4AAP First phase of winning lokshabha has begun Interested people may httptcoAhqDvtxtUE"|"adarshoxf"
"Thu Dec 26 115421 0000 2013"|"mrktcls AamAadmiParty I wonder why ppl are not concerned w so many miseriesamppenury  Ya blindfolding ppl w communal politics SAFETOUR"|"SAFETOUR"
"Thu Dec 26 115406 0000 2013"|"AamAadmiParty  More than a leadership what our country really needs is a patriotic and loyal follower"|"niranjantalap"
"Thu Dec 26 115358 0000 2013"|"AamAadmiParty Why APP is not showing up in south We are also ready for a change"|"NanNap0le0n"
"Thu Dec 26 115356 0000 2013"|"RT bharatbuilder Expect huge revolt in AamAadmiParty if LambaAlka is given any post in party Ill make life miserable for AAP"|"gandhi18581"
"Thu Dec 26 115355 0000 2013"|"RT ExAAPistani To Arvind Kejriwal AamAadmiParty  Either youre with Congress or against Congress Dont fool Indians  Alka Lamba httpt"|"ExposeAAP"
"Thu Dec 26 115355 0000 2013"|"RT ExAAPistani To Arvind Kejriwal AamAadmiParty  Either youre with Congress or against Congress Dont fool Indians  Alka Lamba httpt"|"mrktcls"
"Thu Dec 26 115355 0000 2013"|"RT ExAAPistani To Arvind Kejriwal AamAadmiParty  Either youre with Congress or against Congress Dont fool Indians  Alka Lamba httpt"|"TweetInHindi"
"Thu Dec 26 115340 0000 2013"|"To Arvind Kejriwal AamAadmiParty  Either youre with Congress or against Congress Dont fool Indians  Alka Lamba httptcoNEUgpmhEtF"|"ExAAPistani"
"Thu Dec 26 115336 0000 2013"|"RT BindaasBol No democracy followed by AamAadmiParty in appointing sanjay singh as party chief "|"KumbalagodK"
"Thu Dec 26 115331 0000 2013"|"kodandaramaiah jaypn2009 HeadlinesToday AamAadmiParty a fake is a fake and has no value vis a vis original "|"harindranath"
